DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column,Region,Divison,State,Region Rank,Divison Rank
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,43,22405.6,6155.16,5200.47,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Louisville,KY - Louisville,26,17448.31,5750.08,5019.73,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Louisville,KY - Louisville,369,29878.7,7351.33,6154.19,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,18,17239.44,6112.72,5140.0,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Paducah,KY - Paducah,45,21198.98,6261.22,4798.8,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,21,29404.86,5788.38,5073.05,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Paducah,KY - Paducah,77,20107.77,5428.42,4331.99,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,64,24249.59,6218.83,5344.48,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Paducah,KY - Paducah,104,19437.07,5675.48,4787.13,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Louisville,KY - Louisville,23,12196.0,6293.43,5094.83,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Louisville,KY - Louisville,14,15362.79,6265.43,5339.29,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Paducah,KY - Paducah,28,23050.21,5657.79,4652.25,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,TN,Nashville,TN - Nashville,31,35933.61,5250.06,4681.03,5,8,South,South - East South Central,Tennessee,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,44,28072.98,6376.59,5148.73,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,WV,Huntington,WV - Huntington,44,34590.73,5904.55,5098.91,4,9,South,South Atlantic,West Virginia,3,5
292,HEART FAILURE & SHOCK W CC,KY,Louisville,KY - Louisville,212,22656.35,5380.0,4424.56,4,8,South,South - East South Central,Kentucky,3,6
